Week ending date,DHB of service,Dose number,# doses administered,Notes: 
2021-07-04,Nelson Marlborough,2,2845,
2021-07-04,Northland,1,2401,
2021-07-04,Northland,2,1679,
2021-07-04,Other Sites,1,1276,
2021-07-04,Other Sites,2,1086,
2021-07-04,South Canterbury,1,281,
2021-07-04,South Canterbury,2,1491,
2021-07-04,Southern,1,4522,
2021-07-04,Southern,2,3736,
2021-07-04,Tairawhiti,1,824,
2021-07-04,Tairawhiti,2,668,
2021-07-04,Taranaki,1,1378,
2021-07-04,Taranaki,2,635,
2021-07-04,Waikato,1,4782,
2021-07-04,Waikato,2,3122,
2021-07-04,Wairarapa,1,1345,
2021-07-04,Wairarapa,2,364,
2021-07-04,Waitemata,1,8612,
2021-07-04,Waitemata,2,5630,
2021-07-04,West Coast,1,850,
2021-07-04,West Coast,2,443,
2021-07-04,Whanganui,1,168,
2021-07-04,Whanganui,2,1378,
2021-07-11,Auckland,1,8282,
2021-07-11,Auckland,2,7963,
2021-07-11,Bay of Plenty,1,2665,
2021-07-11,Bay of Plenty,2,3509,
2021-07-11,Canterbury,1,6522,
2021-07-11,Canterbury,2,4275,
2021-07-11,Capital and Coast,1,2498,
2021-07-11,Capital and Coast,2,1305,
2021-07-11,Counties Manukau,1,9536,
2021-07-11,Counties Manukau,2,9587,
2021-07-11,Hawke's Bay,1,1181,
2021-07-11,Hawke's Bay,2,1766,
2021-07-11,Hutt Valley,1,1584,
2021-07-11,Hutt Valley,2,1476,
2021-07-11,Lakes,1,1415,
2021-07-11,Lakes,2,2231,
2021-07-11,MidCentral,1,3917,
2021-07-11,MidCentral,2,4256,
2021-07-11,Nelson Marlborough,1,2912,
2021-07-11,Nelson Marlborough,2,2087,
2021-07-11,Northland,1,1894,
2021-07-11,Northland,2,3087,
2021-07-11,Other Sites,1,827,
2021-07-11,Other Sites,2,1423,
2021-07-11,South Canterbury,1,329,
2021-07-11,South Canterbury,2,1510,
2021-07-11,Southern,1,3655,
2021-07-11,Southern,2,4952,
2021-07-11,Tairawhiti,1,491,
2021-07-11,Tairawhiti,2,1031,
2021-07-11,Taranaki,1,962,
2021-07-11,Taranaki,2,1049,
2021-07-11,Waikato,1,3851,
2021-07-11,Waikato,2,3674,
2021-07-11,Wairarapa,1,1642,
2021-07-11,Wairarapa,2,1093,
2021-07-11,Waitemata,1,10167,
2021-07-11,Waitemata,2,5997,
2021-07-11,West Coast,1,825,
2021-07-11,West Coast,2,608,
2021-07-11,Whanganui,1,658,
2021-07-11,Whanganui,2,291,
2021-07-18,Auckland,1,10221,
2021-07-18,Auckland,2,7977,
2021-07-18,Bay of Plenty,1,2809,
2021-07-18,Bay of Plenty,2,3049,
2021-07-18,Canterbury,1,6185,
2021-07-18,Canterbury,2,4758,
2021-07-18,Capital and Coast,1,1722,
2021-07-18,Capital and Coast,2,1289,
2021-07-18,Counties Manukau,1,12200,
2021-07-18,Counties Manukau,2,11412,
2021-07-18,Hawke's Bay,1,1678,
2021-07-18,Hawke's Bay,2,2013,
2021-07-18,Hutt Valley,1,1908,
2021-07-18,Hutt Valley,2,1410,
